Volt	Gesture	Length
87	0	6
96	0	6
93	0	6
87	0	6
80	0	6
87	0	6
65	0	6
62	0	6
84	0	6
111	0	6
114	15	6
134	15	6
116	15	6
135	15	6
102	15	6
122	15	6
128	15	6
125	15	6
123	15	6
128	15	6
145	30	6
150	30	6
149	30	6
143	30	6
150	30	6
141	30	6
142	30	6
150	30	6
155	30	6
138	30	6
161	45	6
156	45	6
164	45	6
161	45	6
171	45	6
181	45	6
177	45	6
179	45	6
176	45	6
180	45	6
208	60	6
211	60	6
204	60	6
201	60	6
200	60	6
199	60	6
195	60	6
203	60	6
210	60	6
203	60	6
259	75	6
235	75	6
253	75	6
255	75	6
234	75	6
232	75	6
237	75	6
244	75	6
246	75	6
233	75	6
296	90	6
292	90	6
298	90	6
291	90	6
285	90	6
293	90	6
276	90	6
286	90	6
281	90	6
279	90	6