Task,Value,Measure,Subject
eat,3799.100135,Angle,1
wipe,7330.513663,Angle,1
type,3412.228866,Angle,1
write,8036.648078,Angle,1
fold,17544.98428,Angle,1
peg,25097.18004,Angle,1
eat,2829.07804,Angle,2
wipe,899.665578,Angle,2
type,2825.275456,Angle,2
write,241.269559,Angle,2
fold,28396.12371,Angle,2
peg,24970.02475,Angle,2
eat,2551.106924,Angle,3
wipe,153.878291,Angle,3
type,16314.52949,Angle,3
write,5852.985366,Angle,3
fold,18637.90945,Angle,3
peg,21200.68139,Angle,3
eat,2388.083701,Angle,4
wipe,1638.407079,Angle,4
type,11766.57305,Angle,4
write,10508.23201,Angle,4
fold,54135.93907,Angle,4
peg,31405.56927,Angle,4
eat,3312.539097,Angle,5
wipe,11728.85982,Angle,5
type,6786.216135,Angle,5
write,3727.240858,Angle,5
fold,33080.95934,Angle,5
peg,21300.12506,Angle,5
eat,2585.117334,Angle,6
wipe,3060.460541,Angle,6
type,27568.52351,Angle,6
write,4381.349916,Angle,6
fold,14366.26822,Angle,6
peg,11929.16515,Angle,6
eat,2556.634592,Angle,7
wipe,978.632689,Angle,7
type,8322.013003,Angle,7
write,2824.300759,Angle,7
fold,16712.38997,Angle,7
peg,8675.973596,Angle,7
eat,5802.496499,Angle,8
wipe,1985.340608,Angle,8
type,3950.922609,Angle,8
write,5425.006346,Angle,8
fold,16170.08401,Angle,8
peg,17664.32179,Angle,8
eat,3147.48246,Acceleration,1
wipe,23807.49926,Acceleration,1
type,7601.21317,Acceleration,1
write,4727.532735,Acceleration,1
fold,16363.65413,Acceleration,1
peg,15754.96569,Acceleration,1
eat,5167.101301,Acceleration,2
wipe,6710.688226,Acceleration,2
type,5939.070548,Acceleration,2
write,6564.249648,Acceleration,2
fold,16417.9267,Acceleration,2
peg,14841.39451,Acceleration,2
eat,3644.474787,Acceleration,3
wipe,6672.316353,Acceleration,3
type,4711.386534,Acceleration,3
write,5538.247938,Acceleration,3
fold,11071.11086,Acceleration,3
peg,9995.998122,Acceleration,3
eat,3849.874404,Acceleration,4
wipe,12760.47834,Acceleration,4
type,7599.444264,Acceleration,4
write,7502.223003,Acceleration,4
fold,16324.66329,Acceleration,4
peg,16691.46924,Acceleration,4
eat,6121.833482,Acceleration,5
wipe,13348.94525,Acceleration,5
type,14766.02459,Acceleration,5
write,6942.076258,Acceleration,5
fold,20576.31245,Acceleration,5
peg,12841.48225,Acceleration,5
eat,3804.430451,Acceleration,6
wipe,10226.67745,Acceleration,6
type,13323.45467,Acceleration,6
write,7297.853262,Acceleration,6
fold,15768.15951,Acceleration,6
peg,12158.68683,Acceleration,6
eat,4831.890932,Acceleration,7
wipe,12103.84572,Acceleration,7
type,11115.5003,Acceleration,7
write,10238.93366,Acceleration,7
fold,23350.74427,Acceleration,7
peg,16360.29097,Acceleration,7
eat,4843.467866,Acceleration,8
wipe,10480.25382,Acceleration,8
type,5577.161877,Acceleration,8
write,7419.761542,Acceleration,8
fold,12859.24801,Acceleration,8
peg,15497.82338,Acceleration,8