Task,Angle,Acceleration
eat,3799.100135,3147.48246
wipe,7330.513663,23807.49926
type,3412.228866,7601.21317
write,8036.648078,4727.532735
fold,17544.98428,16363.65413
peg,25097.18004,15754.96569
eat,2829.07804,5167.101301
wipe,899.665578,6710.688226
type,2825.275456,5939.070548
write,241.269559,6564.249648
fold,28396.12371,16417.9267
peg,24970.02475,14841.39451
eat,2551.106924,3644.474787
wipe,153.878291,6672.316353
type,16314.52949,4711.386534
write,5852.985366,5538.247938
fold,18637.90945,11071.11086
peg,21200.68139,9995.998122
eat,2388.083701,3849.874404
wipe,1638.407079,12760.47834
type,11766.57305,7599.444264
write,10508.23201,7502.223003
fold,54135.93907,16324.66329
peg,31405.56927,16691.46924